clean_tweets,label,classes,classes2
you may take your nd shot of covishield to week after your first covid vaccine shot covid covid,fact/announcement,0,3
covid covidvaccine coronavirusstrain coronavaccine oh how soon people forget,opinion,1,0
we will get through this sundaymorning sundaythoughts covidvaccine covid canada surpasses death due t,fact/announcement,0,3
covidvaccine update night of day random right ankle pain arthritis no med went to bed morning of,opinion,1,0
my dad got his covidvaccine and i literally cried,opinion,1,2
it is always better to be aware of what you intake share this message to spread awareness gettested f,opinion,1,1
got my j j covidvaccine today after photographing for the pop up event for the just in time for,opinion,1,2
shoulda got the johnson johnson tear free vaccine this shot got me hurtin covid,opinion,1,0
january pakistan ha neither placed any final order yet to acquire covid vaccine nor any vaccine manufa,fact/announcement,0,3
i guess it wa the nurse s time to take a stab at it ojsimpson covidvaccine covid,opinion,1,1
vaccine round one check covidvaccine covid,opinion,1,2
union health minister unveils web portal for covid vaccine drharshvardhan healthminister ministryofhealth,fact/announcement,0,3
once again i got a regular flu shot the one you get every year not the covidvaccine i will wearamask wait un,opinion,1,0
my whatsapp number edser sundayvibes gme happyjihyoday zonaba covidvaccine naagin mrqueen,fact/announcement,0,3
my hubby got his second jab today fully vaccinated covidvaccine vaccinated vaccinessavelives,opinion,1,2
several million have been jabbed so far lbilderberg can let u know how many of them have had n,fact/announcement,0,3
i got my first covidvaccine shot so that is cool,opinion,1,2
if there is a disparity among peopleofcolor getting the covidvaccine and those nasty whitepeople who may get in,opinion,1,0
cor no energy today twitterbuds i wa warned about side effect after covidvaccine but i thought it will not affect me,opinion,1,0
it seems to me the eu politician are desperately looking around for people to blame for their own incompetence ov,opinion,1,1
covid is still real people please continue to wearamask socialdistance and washyourhands get the vaccine to,opinion,1,2
we definitely need to be one step forward we need to create the infrastructure rapidly covidvaccine,opinion,1,2
to emily adhikari cathy spong weighing in on covidvaccine in pregnancy i am very supportive of,fact/announcement,0,3
what the science say about common covid vaccine myth covidvaccine,fact/announcement,0,3
also he did not bring the covidvaccine he did not even admit to there being a pandemic until recently,opinion,1,1
i have had a busy few day got my first covidvaccine dose today and then went on my run i am already sore and tire,opinion,1,2
aiding in the covid vaccine is working more than just to kudos covidvaccine dollyparton,opinion,1,2
ramadan mubarak to those of you who celebrate trailblazer trailblazerstaffing medicalstaffing job,fact/announcement,0,3
vaccine dose done thank you for creating such a smooth process million dos a,opinion,1,2
help u get more ppl vaccinated covid covid vaccine covidvaccine getvaccinated,opinion,1,2
a fantastic vaccine analogy covidvaccine vaccine vaccineswork vaccinessavelives getvaccinated,opinion,1,2
thank you for always covering the covidvaccine crisis and talking about the american people who have l,fact/announcement,0,3
can covid vaccine because infertility here is what dr harsh vardhan ha to say covidvaccine coronavaccine,fact/announcement,0,3
one place to get several question about the covidvaccine answered,fact/announcement,0,3
covid conspiracy stand for certificate of vaccine id covid is a hoax using sick elderly dying in nur,opinion,1,0
icymi iava is working w other vet based orgs to support covidvaccine delivery we are in the pilot,fact/announcement,0,3
icao and wco provide checklist for safe and speedy vaccine rollout covid covidvaccine wco icao airfreight,fact/announcement,0,3
a m a z i n g covidvaccine,opinion,1,2
an important reminder from covid anywhere is a problem everywhere a peoplesvaccine is the,fact/announcement,0,3
k to covidvaccine appointment available from publix in my dad s county do not think i will get in got to tr,opinion,1,2
hey florida ppl just so you know cv is not asking for job id if you go there for a covidvaccine so hypothetic,opinion,1,1
yes we will have wave after wave of covidinfections because we do not have the covidvaccine for most of the,opinion,1,0
liddle marco rubio call lyin fauci a liar and then is the first in line to get a covidvaccine a lot of people,opinion,1,1
somebody tell these uncle to stop sharing those whatsapp chain because garlic is not the answer covidvaccine,opinion,1,0
poor vaccination is a proof citizen do not trust bjp what are bjp bhakts waiting for get vaccinated stop wa,opinion,1,0
covidvaccine ndtv s shonakshi chakravarty report from bengaluru s anand rao facility storage,fact/announcement,0,3
dr national medical director s nh clinical fellow nh working with covidvaccination team acknowled,fact/announcement,0,3
wow plenty of spot available for butte s first dose vaccination event today covidvaccine plus now opening f,fact/announcement,0,3
i just joined the fortunate million who have already received covidvaccine feeling privileged and hope we can ra,opinion,1,2
gsupublichealth s expert in the news can you still spread covid after receiving both vaccine dos after jus,fact/announcement,0,3
gopcomplicittraitors covidvaccine bbcnews gopdomesticterrorists for someone wealthy and rich like senator coll,opinion,1,0
f k zerocovid allirelandnhs now covidvaccine covid ireland,opinion,1,1
we just saw that say the pfizer covidvaccine can be stored at normal freezer temp for week how encou,fact/announcement,0,3
after trending on top from last hour on twitter i hope imrankhan need indian covidvaccine more than bushra,opinion,1,2
good morning from yorkvaccinationcentre we are open a usual today ready to welcome people for their appointment,fact/announcement,0,3
anyone know which organization is providing covidvaccine on longisland tried all of my local pharmacy nothing is available,opinion,1,1
over a quarter of a million death that is what happened on your watch get in the bin trumptantrum,opinion,1,1
covidvaccine day no superpower damn,opinion,1,2
one thing cw did not address is that people are now worried after eu announcement today that the second dose of,opinion,1,1
my parent not yet able to get covidvaccine elder in boynton beach fl wpb cnty are not gett,opinion,1,2
nh staff across greenwich are working hard to vaccinate people against covid there is no need to contact your,fact/announcement,0,3
israel vaccinates more than half it population but still far from covid herd immunity covidvaccine,fact/announcement,0,3
covidvaccine now available for san joaquin resident age registration required visit,fact/announcement,0,3
so pleased i have had my first astrazeneca covidvaccine a small weight ha been lifted massive thanks to all the,opinion,1,2
here is why distribution of the vaccine is taking longer than expected covid,fact/announcement,0,3
from my work on sirenstudy i make one plea covidvaccine protects you from developing covid disease when you,fact/announcement,0,3
i wa fortunate enough to receive the moderna covid vaccination tonight let u end this shit covid,opinion,1,2
excellent to see home care staff from talking about their reason for getting the covidvaccine gre,opinion,1,2
tonight on kennedy we will be talking bigtechcensorship parlershutdown covidvaccine newsomrecall,fact/announcement,0,3
is the covidvaccine meant to suppress humanity s rising consciousness,opinion,1,0
my mum dad are getting the covidvaccine today she just text saying they are getting the pfizer vaccine and,opinion,1,2
million j j vaccine dos need to be checked for contamination nyt johnsonandjohnsonvaccine jnj covidvaccine,fact/announcement,0,3
i wonder when country will start suggesting we cohort those who refuse to take the covidvaccine i,opinion,1,0
the toriesout vision seems to have eluded their common sense motto seems even,opinion,1,1
diabetes during pregnancy may increase risk of heart disease,fact/announcement,0,3
utter chaos in covidvaccine roll out no appointment sold vaccin,opinion,1,0
well that about wrap it up covid covidvaccine,opinion,1,2
i looked at all side of this decided that with an autoimmune disease getting the covidvaccine wa the right th,opinion,1,2
upon receiving the covid vaccine id care president dr ronald nahass had this to say the new technology and m,fact/announcement,0,3
i also do not understand the g or covidvaccine conspiracy theory almost everyone on the planet carry a smar,opinion,1,1
real president serve their citizen not attack their country democracy covidvaccine watching close,opinion,1,1
if you have been workingfromhome you cannot ethically be line jumping ahead of the very people who made it possible,opinion,1,0
covidvaccine risk to pregnant woman available data on pfizer biontech covid vaccine adm,fact/announcement,0,3
today took first dose of covidvaccine with other team member of team banaskantha frontline worker of relate,opinion,1,2
there are no american tank on baghdad the eu is engaging in vaccine internationalism eu,fact/announcement,0,3
if stop his resident from receiving the covidvaccine he should go to prison immediately be removed from office,opinion,1,1
fully vaccinated and it is my th wedding anniversary covidvaccine,opinion,1,2
overheard an older woman request a covidvaccine at about a month ago and staff told her to go to a,fact/announcement,0,3
a vaccination are distributed many older adult lack the online ability to make appointment or deal with glitc,fact/announcement,0,3
yeah covid coronavirus covid covidvaccine pandemic nyc,opinion,1,2
why do you still need to wear a mask after you have gotten the covidvaccine,opinion,1,1
covidvaccine covid vaccine experience of late people are having a hard time understanding how it work so the,fact/announcement,0,3
china level of freaking out for ny spring festival now end with sinopharm vaccine being free of charge previo,fact/announcement,0,3
i made this tiktok when i got my vaccine this week i knew it would be cute but did not think it would bring up all,opinion,1,2
meanwhile we in india they are busy making cow cabinet covid covidvaccine india,opinion,1,1
so close on today s launch of for the covidvaccine pre registration sign up the patient,fact/announcement,0,3
india farmer leader condemn violence but will not call off protest kisanandolan tractorparade farmersprotest,opinion,1,0
brazil seems to be exporting the pot and pan bang protest denmark covid covidvaccine,opinion,1,1
healthcare worker inoculated in state odisha odishanews covid covidpandemic covidvaccine,fact/announcement,0,3
dowjones just jump after this report pfizer biontech say late stage trial data show covid vaccine is more,fact/announcement,0,3
cut the loop peep a simple gesture to save wildlife covid covid ontario covidvaccine,opinion,1,1
some religious concern in the u over the johnson johnson covidvaccine due to it use of lab grown cell that,fact/announcement,0,3
cv location show covidvaccine slot in ca arvin auburn eureka pollock pine porterville weaverville,fact/announcement,0,3
since the first rumor of the availability of the covidvaccine many people started looking forward to thing goin,opinion,1,2
real men are not scared of the covidvaccine realmen are brave enough to face the potential side effect only pa,opinion,1,2
more on covidvaccine eligibility and efficacy from jennifer greene public health director for,fact/announcement,0,3
is that how much the covidvaccine and ventilator are worth on the black market,opinion,1,0
centre fix covid vax price at r dose coronavirus covid corona covid vaccine coronavaccine,fact/announcement,0,3
icymi for blackhistorymonth physician reflects on history of medical mistreatm,fact/announcement,0,3
thisismyshot to protect myself from covid antonide dorne lahey hospital environmental service received the,fact/announcement,0,3
windsor essex working together to get the job done covidvaccine we are proud of the thriving partnership betwe,opinion,1,2
rite aid show covidvaccine slot in ca alhambra apple valley banning beaumont coachella desert hot spring fr,fact/announcement,0,3
hhs vaers data why so many death just hour after covidvaccine is it related or unrelated you decide tim t,fact/announcement,0,3
covidvaccine shot done lupuswarriorprincess,opinion,1,2
this is not bipartisan nero is gone but rome still burn biden covidvaccine our funeral home is overwhelmed w,opinion,1,0
if you do not have any comorbidities you may schedule your covid vaccination for or after april,fact/announcement,0,3
should covid vaccine stay protected by patent law debrief on the production timeline vaccine covidvaccine,opinion,1,1
just booked my covidvaccine for thursday,opinion,1,2
a deaf mom i cannot get my covid vaccine a b plus in while rest of il move to fu,opinion,1,0
union budget on covid vaccine budget nirmalasitharaman covidvaccine covid live update,fact/announcement,0,3
thank got everyone got the covid covidvaccine so socialdistancing is not needed everyone can go to church and,opinion,1,2
one more reason to get the covidvaccine a doughnut vaccine are free vaccine prevent severe disease and,opinion,1,2
who should be first in line for the new covidvaccine how do we deal with anti vaxxers i am looking forward to d,opinion,1,1
let you know your turn the covidvaccine is currently being offered to people most at risk from coronavirus,fact/announcement,0,3
really helpful and informative video about the covidvaccine,fact/announcement,0,3
rhcc scotland health center in laurinburg ha covid vaccine see photo to contact modernavaccice covidvaccine,fact/announcement,0,3
tnxp covidvaccine racing to production phase join gsk in choosing hamilton mt a a base for vaccine production,fact/announcement,0,3
azealiabanks speaks on union for artist in wake of dmx passing sundayvibes upinhere,fact/announcement,0,3
many of my colleague have received the covidvaccine without any hassle while myself and others were turned away,opinion,1,2
covidvaccine amazing work from our volunteer this morning despite snow we are very much open and lo,fact/announcement,0,3
boris message to the eu right now if they had not acted like complete prick covidvaccine euvaccine covid,opinion,1,1
not getting this covidvaccine if you choose to have one option public sector should be free to choose to termin,opinion,1,0
arizona man accused of holding national guard soldier at gunpoint larryharris texas soldier covidvaccine,fact/announcement,0,3
loving the covidvaccine campaign featuring on your facebook page,opinion,1,2
why sanofi pasteur the world s famous vaccine manufacturer doe not have a covidvaccine candidate covid,opinion,1,1
these evil psycopaths are coming for your child covidvaccine vaccinesarepoison covid depopulationagenda agenda,opinion,1,0
i have no clue why covid case in india are increasing so much covid india covidvaccine covid uk,opinion,1,1
whataboutism covidvaccine,fact/announcement,0,3
thank you for the nd covidvaccine from and to the gentle touch of ann who gave me the jab today i f,opinion,1,1
million dos covidvaccine,fact/announcement,0,3
telangana government say there is only covidvaccine wastage in the state a against prime minister narendr,fact/announcement,0,3
college covid case a a of the population coronavirusvermont governorphilscottpressconference vermont,fact/announcement,0,3
got my second dose hopefully my g improves protectchicago covidvaccine wearamask,opinion,1,2
when it is your turn will you get the covidvaccine florida lower vaccine age to starting monday and for all,opinion,1,1
okay i have had my microchip implanted bill gate you may commence tracking me covidvaccine,opinion,1,2
covidvaccine is endgame not the cure,opinion,1,2
police visiting covidvaccine site to raise awareness of courier fraud targeting the elderly,fact/announcement,0,3
facial swelling occurred in patient at the site of dermal filler after receiving the covidvaccine,fact/announcement,0,3
smarter than hunterbiden when took office he wa handed a covidvaccine thank you,fact/announcement,0,3
respect yourself and others will respect you confucius americafirst trump backtoschool australianopen,fact/announcement,0,3
all deez druggos saying no to a covidvaccine but yes to ketamine lol,opinion,1,0
covidvaccine vaccine a huge potential for chaos how the covid vaccine rollout wa hobbled by turf war and,fact/announcement,0,3
i did the thing covidvaccine covid,opinion,1,2
covidvaccine misinformation is a global phenomenon here wechat in australia some you wish wa true like mrna vac,opinion,1,0
covidvaccine update i am still ok lol please understand that it is still possible to contract the virus that caus,opinion,1,2
while india donates million of dos of covidvaccine for many country so called rich country new zealand,fact/announcement,0,3
did not throw away my shot today covidvaccine,opinion,1,2
a month later and million dos of the covidvaccine have been given worldwide how many in australia,fact/announcement,0,3
dgp collector sps to take covidvaccine on february in odisha health department covidvaccination,fact/announcement,0,3
herd immunity there should not be any question or redefinition covidvaccine,opinion,1,2
he is been busy with more than the covidvaccine bill gate now owns more farm land than anyone else in the count,opinion,1,1
the way he brings the energy on to the field kohlimantra ipl viratkohli savspak babarazam covid,opinion,1,1
nd astrazeneca vaccination done covidvaccine,opinion,1,2
worldbank statement covid covid covid covid uk covid,fact/announcement,0,3
must thank god for another day in your life stay home stay safe covid philippine covidvaccine,opinion,1,2
will be joining this morning and speaking with and alisyn camerota about covidvaccine goal of,fact/announcement,0,3
hey any word on teacher in those postal code scarboroughnorth covidvaccine,fact/announcement,0,3
shout out to the oschner staff in west bank for be so helpful thanks mary covidvaccine nola rollupyoursleeve,opinion,1,2
my morning fulfilled covidvaccine canon,opinion,1,2
one more sleep covidvaccine,opinion,1,1
serving the community with the gift of immunity covishield covid vaccination covidvaccine,fact/announcement,0,3
important announced that people age will be eligible to register for a covidvaccine on february,fact/announcement,0,3
apart from death the pfizer covidvaccine ha few known side effect,fact/announcement,0,3
canada ha begun it review of an oxford covidvaccine learn more from,fact/announcement,0,3
new variant of covid are sparking reinfection concern and question about herdimmunity with,fact/announcement,0,3
united front official at every level of government in ma are criticizing governor for covidvaccine rollout,fact/announcement,0,3
astrazeneca oxford covidvaccine cleared by uk a it also fight mutant virus covidstrain india next,fact/announcement,0,3
need temprol marriage with a healthy worker just to be vaccinated covidvaccine,opinion,1,2
all done covidvaccine thanksnhs,opinion,1,2
yesterday wa vaccine day woot gettheshot igottheshot covidvaccine,opinion,1,2
news according to veritas there are more death from the va cine then the virus vaers confirms,fact/announcement,0,3
it is been over hour since my covidvaccine and i am back to and feeling way better than yesterday my arm i,opinion,1,2
happy new year ready for happynewyear cnnnye covidvaccine ftapartandmasked,opinion,1,2
having the vaccine jab today shielding continues though covidvaccine,opinion,1,2
ffs we are truly fukked with fukkwit stuartrobert running covidvaccine,opinion,1,0
information for teacher and k administrator answer to key question about the covidvaccine in school a q,fact/announcement,0,3
covid vaccine will be an important tool to help stop this pandemic find out why covid covidvaccine,fact/announcement,0,3
tune in to a fantastic event about the covidvaccine and the black community tomorrow march a great lineup of,fact/announcement,0,3
where are coronavirus vaccine available in miami dade county covid covidvaccine flpol,opinion,1,1
still waiting for my number to come up covidvaccine,opinion,1,2
approximately million flushots done annually by ontario govt each october november with no added planning,fact/announcement,0,3
dear oc health agency how can we get the johnson johnson covidvaccine one shot in south theoc it is requ,opinion,1,1
the joy of vax the people giving the shot are seeing hope and it is contagious covidvaccine gettheshot hope,opinion,1,2
covidvaccine you are so entitled i hope you raise your child to be more empathetic understanding,opinion,1,1
we sat down with mitchell gerber to discus bidens illegitimate presidency a well a covid and,fact/announcement,0,3
the rapistinchief trump doe not really know what he is taking about when talking about a covidvaccine presidentialdebate,opinion,1,1
prominent remainers telling u the eu is not perfect they are slave to their bloated ego brexit eu vaccine,opinion,1,1
covid vaccination celebration i got my covidvaccine righttobarearms tuscanstrong seniorliving,opinion,1,2
color me disappointed smack of the day when roc wa known a smugtownusa covidvaccine covid rochester,opinion,1,0
i am hoping to just sleep off these muscle ache because i cannot afford to take anymore pto covidvaccine,opinion,1,0
nyc pay attention get covidvaccine now stop spread of covid including variant,opinion,1,2
doe anyone know if larryking had gotten the covidvaccine yet if it might have made the outcome of his recovery,opinion,1,1
tomorrow the following are eligible for a covidvaccine in ma people resident staff of low income affor,fact/announcement,0,3
please share kansa city va medical center is giving out covidvaccine dos to eligible vet right now will,fact/announcement,0,3
passing the time listening to while waiting for my covidvaccine iwatchpmsnocluewhy,opinion,1,2
shame on florida my year old mil still cannot get a covidvaccine,opinion,1,0
which russia kgb class did you graduate in msnbc johnbrennan communist politicalcontrol covid covidvaccine,opinion,1,0
still cannot get the fact out of my mind that nirmala ji went to bihar to announce free covidvaccine she should,opinion,1,1
old but still a child ai w covid mondaymotivation coronavirus covidvaccine,opinion,1,2
saddened to hear that ha covid and had become ill before he wa able to receive the,opinion,1,1
woke up feeling way better hour post covidvaccine dose of the pfizer vaccine please wear a mask get vaccinated when offered,opinion,1,2
rite aid show covidvaccine slot in ca bellflower beverly hill buena park cypress duarte fresno hollywood i,fact/announcement,0,3
beyond the covidvaccine,fact/announcement,0,3
it seems obvious that a people with learning disability are disproportionately affected by covid they should,opinion,1,1
this is the best thing i have seen in btsdynamite dncconvention dynamitemv biden tosaveamerica,opinion,1,1
i agree i think we all know there are still a lot of q unknown around covidvaccine but disappointed,opinion,1,0
great news let u keep pregnant woman able to choose the covidvaccine equity,fact/announcement,0,3
we must ensure that no one is left behind covid covidvaccine,opinion,1,2
finally got my first dose of the covidvaccine today going to use that a my excuse to not go on a run tonight,opinion,1,2
modiji postponejeeneet covidvaccine is around the corner why cannot they just wait till the student to get vac,opinion,1,2
so great to meet you temeka and congrats on getting your nd covidvaccine,opinion,1,2
i am incredibly grateful to all those involved in caring for covid patie,opinion,1,2
russia coronavirus covidvaccine thanks umcle pumtin,opinion,1,2
my mum is due to get vaccinated today she cannot wait covidvaccine,opinion,1,2
fitness fitnessmotivation fitindia fitindiamovement worldsuicidepreventionday worldunitedforssrjustice,fact/announcement,0,3
this is amazing covid covidvaccine covidvaccination nh thankyounhs,opinion,1,2
i say that make rand paul a quack covid covidvaccine,opinion,1,0
when are you going to vaccinate nh staff covidvaccine,opinion,1,2
whoop sy dose of pfizerbiontech covidvaccine done i wa the last stab of the day covid coronavirus,opinion,1,2
chinese vietnamese arabic too texas is home to one of the largest asian middleeastrn community in,opinion,1,1
more than staff and resident at dominican oak assisted living facility in santacruz got the first dose of,fact/announcement,0,2
what is the process like for getting your covidvaccine i will take you through the step a a,fact/announcement,0,3
getting my covidvaccine monday ready to protect myself others and get u back to some type of normal a a society,opinion,1,2
hour to go for a global webinar on covidvaccine rollout do not miss an interesting conversation with a pan,fact/announcement,0,3
sign up to v safe a health checker that provides guidance on the covidvaccine,fact/announcement,0,3
vaccinationcovid another female doctor lead by example congratulation for getting the shield,fact/announcement,0,3
although the u hit the milestone mark of million covidvaccine shot last week we should still do our part to,fact/announcement,0,3
got my microchip vaccine covidvaccine fridaymorning,opinion,1,2
is but your health is your greatest asset imho all covid regulation are illegal in canada order no,fact/announcement,0,3
fantastic covidvaccine tracker by,fact/announcement,0,3
cannot give what we do not got canadawaits cdnpoli covidvaccine,opinion,1,2
getting covidvaccine dose,opinion,1,2
i just got my first covidvaccine this morning i am feeling great and excited,opinion,1,2
i will let you know if i die and or alien abduct me through the microchip covidvaccine,opinion,1,2
the total administered vaccine shot have struggled to keep up despite a surge in vaccination number thi,fact/announcement,0,3
got my appointment for covidvaccine it is safe and effective pas it on sciencematters,opinion,1,2
borisjohnson will be at pmqs later making childish snide comment about captain hindsight that is how remo,fact/announcement,0,3
had covidvaccine yesterday i am totally immunosuppressed so do i stop my daily life saving chemo to vaccineca,opinion,1,2
heal theworld people still getting sick and passing away americafirst covid,opinion,1,0
wham bam thank you madam dose one is in ben you are a hero vaccine getvaccienated covidvaccine,opinion,1,2
there is no need to apply for the covidvaccine the nh will contact you when it is your turn to receive the vacc,fact/announcement,0,3
to ensure you are making an informed choice and aware of the fact covidvaccine adverse,fact/announcement,0,3
northkorea try to access covidvaccine data in yet another in the series of cyberattacks,fact/announcement,0,3
doctor issue dire warning about covid vaccine danger two highly qualified medical expert want people to kn,fact/announcement,0,3
first dose i am doing this for my family friend and my community thankful to the scientist and all involv,opinion,1,2
incredible india quoteoftheday womensday rahulvaidya insecuredogalluarjun princeharry sidharthshukla,fact/announcement,0,3
very hopeful about the covid vaccine but a public messaging campaign will be needed in,opinion,1,2
can you please explain this to all of u i have been waiting patiently for a covidvaccine and this k,opinion,1,2
my parent got their first covid shot and a rochesterians they went to of course covidvaccine,opinion,1,2
covidvaccine latest figure on the number of dos administered is now available on the covid data hub along w,fact/announcement,0,3
st covidvaccine in the book mamamack took it like the bos she is and say so far so good but you all,opinion,1,2
you must include woman and people of color in these study jessssussss longcovid covid vaccine,opinion,1,2
they would say that the vaccine wa approved by uk govt not because it work but because it is british having fa,opinion,1,0
see cdnpoli it is not just u it is europe too and it is to scale up production capacity so more later,fact/announcement,0,3
reminder the covidvaccine is available for senior at pharmacy in nv book an appointment at the link,fact/announcement,0,3
what will happen to woman who are breastfeeding and will take the covid vaccine how it will affect the baby,opinion,1,1
ok folk after what wa a helluva night on twitter let u take a deep breath forget the eu astrazeneca,fact/announcement,0,3
deutschland nursing home whistleblower coincidence is turning out to be qui,fact/announcement,0,3
i know that many will find this boring but here go it is some good information covid covidvaccine,fact/announcement,0,3
a vaccination site for open this week covidvaccine getvaccinated,fact/announcement,0,3
second covidvaccine shot is done,opinion,1,2
premier legault i asked my team to register me to get the covidvaccine in montreal on saturday i did not want to,fact/announcement,0,3
from harare to vic fall thus more km just kunobaiwa majekiseni nhamo yedu covidvaccine zimbabwe,fact/announcement,0,3
definitely world beating covidvaccine ha been delivered by nh team coordinated by relevant bo,fact/announcement,0,3
why do not missourian know when they will receive the covid vaccine complicitcorruptgop covidvaccine,opinion,1,0
c i colleague please remember that our vaccination hub is open and ready to deliver the covidvaccine to those w,fact/announcement,0,3
think about this it is not just that public health and primary care were not given the lead on getting covidvaccine,opinion,1,1
first covidvaccine dose side effect soreness and dream in which i savagely insult myself,opinion,1,0
tnt assam assam close to lakh health worker inoculated in covid vaccine drive assam covid covid,fact/announcement,0,3
what are the plan for educationaloutreach to get more minority to take the covidvaccine black lat,opinion,1,1
thankful to have been able to take the first dose of the astrazeneca covidvaccine i am more than happy to do my pa,opinion,1,2
done went block down the road early for my gma to get her vaccine covidvaccine,opinion,1,2
my coworkers who live in the county received covidvaccine in baltimore city,opinion,1,2
what if the covidvaccine fails or it turn not effective in real term against covid infection wh,opinion,1,0
further insight about the covidvaccine and the necessity to vaccinate cancer patient on a week regime to maxim,fact/announcement,0,3
according to this article this is nd time that the trial ha been put on hold,fact/announcement,0,3
webinar discussing national covid vaccine rollout across aged care friday march covidvaccine agedcare,fact/announcement,0,3
putin good vibe out hope the vaccine work covidvaccine,opinion,1,2
